Año,Entidad,Ley,Concepto,Tipo,Total
2012,México,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",111.0
2012,México,Codigo penal federal,Otros delitos,Patrimoniales,1635.0
2012,México,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,27.0
2012,México,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,679.0
2012,Michoacán de Ocampo,Codigo penal federal,Contra la salud,Produccion,186.0
2012,Michoacán de Ocampo,Codigo penal federal,Contra la salud,Transporte,15.0
2012,Michoacán de Ocampo,Codigo penal federal,Contra la salud,Trafico,11.0
2012,Michoacán de Ocampo,Codigo penal federal,Contra la salud,Comercio,57.0
2012,Michoacán de Ocampo,Codigo penal federal,Contra la salud,Suministro,2.0
2012,Michoacán de Ocampo,Codigo penal federal,Contra la salud,Posesion,610.0
2012,Michoacán de Ocampo,Codigo penal federal,Contra la salud,Otros,92.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,181.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,91.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,Contra la integridad corporal,14.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,Electorales,47.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,En materia de derechos de autor,5.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",62.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,Patrimoniales,366.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,87.0
2012,Michoacán de Ocampo,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,248.0
2012,Morelos,Codigo penal federal,Contra la salud,Produccion,2.0
2012,Morelos,Codigo penal federal,Contra la salud,Transporte,2.0
2012,Morelos,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Morelos,Codigo penal federal,Contra la salud,Comercio,20.0
2012,Morelos,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Morelos,Codigo penal federal,Contra la salud,Posesion,58.0
2012,Morelos,Codigo penal federal,Contra la salud,Otros,21.0
2012,Morelos,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,85.0
2012,Morelos,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,30.0
2012,Morelos,Codigo penal federal,Otros delitos,Contra la integridad corporal,4.0
2012,Morelos,Codigo penal federal,Otros delitos,Electorales,47.0
2012,Morelos,Codigo penal federal,Otros delitos,En materia de derechos de autor,7.0
2012,Morelos,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",54.0
2012,Morelos,Codigo penal federal,Otros delitos,Patrimoniales,184.0
2012,Morelos,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,7.0
2012,Morelos,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,139.0
2012,Nayarit,Codigo penal federal,Contra la salud,Produccion,10.0
2012,Nayarit,Codigo penal federal,Contra la salud,Transporte,0.0
2012,Nayarit,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Nayarit,Codigo penal federal,Contra la salud,Comercio,32.0
2012,Nayarit,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Nayarit,Codigo penal federal,Contra la salud,Posesion,34.0
2012,Nayarit,Codigo penal federal,Contra la salud,Otros,19.0
2012,Nayarit,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,41.0
2012,Nayarit,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,45.0
2012,Nayarit,Codigo penal federal,Otros delitos,Contra la integridad corporal,19.0
2012,Nayarit,Codigo penal federal,Otros delitos,Electorales,40.0
2012,Nayarit,Codigo penal federal,Otros delitos,En materia de derechos de autor,5.0
2012,Nayarit,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",29.0
2012,Nayarit,Codigo penal federal,Otros delitos,Patrimoniales,128.0
2012,Nayarit,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,3.0
2012,Nayarit,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,209.0
2012,Nuevo León,Codigo penal federal,Contra la salud,Produccion,9.0
2012,Nuevo León,Codigo penal federal,Contra la salud,Transporte,8.0
